landuse,textabbr_fingprob,text_fingprob,calccarb_hcl,som_elmntprc,ph_cacl2,lime_requirement,p_calmg100g,k_calmg100g,mg_catmgkg,b_catmgkg,mn_catmgkg,cu_catmgkg,zn_catmgkg,clay,silt,sand
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,7.6,6.6,0,78,20,21,1,68,38,28,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,6.2,6.8,0,26,18,30,1.78,80,24,14,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5.4,6.9,0,27,19,33,1.41,67,11,16,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,5.2,7.1,0,44,11,22,0.87,27,15,18,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,4.7,5.9,0,15,5,24,0.43,66,9,10,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1.3,7.1,0,9,16,18,0.38,26,11,7,4,32.5,63.5
Orchards,Us,Sandiger Schluff,low_medium_carbonate,2.6,6.2,0,20,15,14,0.31,67,11,13,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5.1,6.4,0,19,13,21,0.53,57,16,27,10,25,65
Orchards,Us,Sandiger Schluff,no_free_carbonate,3.6,6.1,0,17,12,15,0.48,66,19,9,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.9,6,0,27,24,22,0.59,54,29,34,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.7,6,0,26,33,20,0.77,66,13,37,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,4.1,6.9,0,49,18,20,0.72,26,12,12,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,7.8,6.7,0,51,36,19,0.95,44,12,22,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,7.3,6.2,0,29,25,16,0.56,64,9,10,10,25,65
Orchards,Su3,Mittel schluffiger Sand,low_medium_carbonate,4.3,6.4,0,35,17,13,0.47,42,19,16,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3.4,7.2,0,23,16,22,0.62,13,19,12,4,32.5,63.5
Orchards,Slu,Schluffig-lehmiger Sand,high_carbonate,7.3,7.1,0,28,17,42,0.8,27,63,27,12.5,45,42.5
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,7.3,7.2,0,27,25,43,1.22,13,23,10,14.4,75.3,10.3
Orchards,Su3,Mittel schluffiger Sand,low_medium_carbonate,4.5,6.6,0,57,19,20,1.62,49,15,37,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,low_medium_carbonate,5,6.4,0,23,9,26,1.03,70,14,17,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,4.3,6,0,16,23,15,0.51,66,6,6,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,7.4,6.3,0,34,36,20,1.16,77,8,33,10,25,65
Orchards,Us,Sandiger Schluff,low_medium_carbonate,4.7,6.3,0,23,11,28,0.64,85,16,25,4,65,31
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,8.5,6.6,0,30,21,30,1.2,38,18,27,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,3.3,5.8,9,10,5,17,0.48,54,8,7,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1.5,7.2,0,15,20,14,0.47,21,11,14,4,32.5,63.5
Orchards,Us,Sandiger Schluff,high_carbonate,5,7.3,0,5,19,34,1.36,31,12,5,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.1,5.4,20,23,22,13,0.34,78,42,25,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.4,5.4,20,22,13,13,0.29,47,9,9,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,7.6,5.8,0,29,34,21,1.42,47,52,72,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,8.1,6.3,0,23,26,33,1.65,77,9,27,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,7.5,6.3,0,28,49,25,0.93,62,12,19,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6,5.6,10,11,5,24,0.51,60,14,9,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,6.8,6.8,0,5,9,31,1.74,74,15,9,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,8,6.3,0,11,18,29,1.39,77,14,13,10,25,65
Orchards,Us,Sandiger Schluff,low_medium_carbonate,2.5,6.6,0,14,10,20,0.59,82,11,7,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,5.1,5.1,35,34,27,13,0.61,136,20,28,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,5,5.8,0,23,29,17,0.58,140,19,17,10,25,65
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,6.7,7.2,0,10,20,40,0.86,18,28,14,14.4,75.3,10.3
Orchards,Us,Sandiger Schluff,high_carbonate,4.2,7.1,0,27,28,31,0.83,26,64,20,4,65,31
Orchards,Us,Sandiger Schluff,high_carbonate,3.6,7,0,29,15,30,0.66,32,102,21,4,65,31
Orchards,Us,Sandiger Schluff,high_carbonate,5.6,7.2,0,17,12,26,0.85,13,18,16,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,9.3,7.2,0,28,15,27,1.01,11,24,27,10,25,65
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,4,7.1,0,54,29,19,1.23,30,28,20,6.5,17.5,76
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.4,5.2,30,31,41,19,0.63,66,29,17,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1.3,6.6,0,31,11,15,0.34,22,11,11,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1.2,6.9,0,28,16,15,0.53,18,21,13,4,32.5,63.5
Orchards,Lu,Schluffiger Lehm,high_carbonate,4.1,7.1,0,15,14,21,0.7,12,111,28,23.5,57.5,19
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,2.9,7.1,0,11,16,21,0.49,22,30,8,4,32.5,63.5
Orchards,Ut3,Mittel toniger Schluff,low_medium_carbonate,4.8,6.9,0,2,7,43,1.15,38,52,9,14.4,75.3,10.3
Orchards,Us,Sandiger Schluff,high_carbonate,5.1,6.9,0,17,11,54,0.71,60,20,15,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5.4,6.2,0,39,35,27,1.07,131,18,27,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,6.8,6.6,0,69,17,34,0.73,26,194,36,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,2.4,6.8,0,12,15,30,0.49,25,35,13,4,32.5,63.5
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,3.6,7.1,0,51,20,23,0.63,23,114,19,14.4,75.3,10.3
Orchards,Ls3,Mittel sandiger Lehm,high_carbonate,3.9,7.1,0,50,15,29,0.76,23,123,31,21,35,44
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,2.6,7,0,26,18,26,0.53,41,65,30,4,32.5,63.5
Orchards,Us,Sandiger Schluff,low_medium_carbonate,4.9,6.5,0,42,11,49,1.4,84,18,30,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.6,4.8,50,49,108,30,3.52,124,21,36,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5.6,6.6,0,29,41,31,1.72,105,15,21,10,25,65
Orchards,Us,Sandiger Schluff,low_medium_carbonate,3.4,6.5,0,22,16,17,0.72,76,10,36,4,65,31
Orchards,Ls3,Mittel sandiger Lehm,low_medium_carbonate,2.2,6.5,0,7,8,38,1.03,152,28,8,21,35,44
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,7.2,7,0,21,24,28,1.28,38,100,15,14.4,75.3,10.3
Orchards,Us,Sandiger Schluff,high_carbonate,4.1,6.9,0,37,53,32,1.29,51,105,20,4,65,31
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,3.5,7.3,0,17,13,21,0.91,30,59,12,14.4,75.3,10.3
Orchards,Slu,Schluffig-lehmiger Sand,high_carbonate,2.5,6.9,0,30,20,22,0.98,20,22,18,12.5,45,42.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,4.5,7,0,16,24,32,0.53,25,21,16,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,8,7.1,0,29,17,38,1.35,18,23,18,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,1.9,7.1,0,7,11,17,0.43,19,25,12,4,65,31
Vineyards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.2,6.5,0,25,35,32,1.1,117,242,31,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,4.8,6.8,0,62,32,24,1.07,20,79,57,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,10.3,6.8,0,170,74,38,2.87,28,23,56,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,5.4,6.9,0,20,12,38,1.44,60,19,19,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,6.3,7.2,0,31,17,38,0.75,11,14,11,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,5.7,6.7,0,41,56,41,1.51,35,32,24,10,25,65
Orchards,Ls3,Mittel sandiger Lehm,high_carbonate,5.6,7.1,0,31,16,30,0.82,20,59,23,21,35,44
Orchards,Us,Sandiger Schluff,high_carbonate,5.1,7.1,0,14,22,24,0.86,26,22,10,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,very_high_carbonate,4.8,6.9,0,45,28,34,1.01,39,57,39,10,25,65
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,4.6,7.1,0,38,25,31,1.05,32,39,14,14.4,75.3,10.3
Orchards,Ut3,Mittel toniger Schluff,low_medium_carbonate,6.6,6.9,0,26,20,53,1.86,57,57,31,14.4,75.3,10.3
Orchards,Ut3,Mittel toniger Schluff,low_medium_carbonate,6.1,6.8,0,25,34,56,1.71,34,158,25,14.4,75.3,10.3
Orchards,Us,Sandiger Schluff,high_carbonate,2.3,7.1,0,12,19,22,0.69,24,20,8,4,65,31
Orchards,Us,Sandiger Schluff,high_carbonate,2.8,7.1,0,33,34,20,0.94,20,59,18,4,65,31
Orchards,Lu,Schluffiger Lehm,high_carbonate,4.7,7.1,0,9,25,32,0.72,15,46,16,23.5,57.5,19
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,3,7.1,0,20,30,16,0.54,63,20,17,6.5,17.5,76
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.8,6.2,0,26,23,15,1.26,115,88,31,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3.9,7.1,0,50,41,21,1.17,14,12,11,4,32.5,63.5
Orchards,Us,Sandiger Schluff,low_medium_carbonate,2.5,6.5,0,8,11,12,0.45,79,13,8,4,65,31
Orchards,Slu,Schluffig-lehmiger Sand,high_carbonate,4.7,6.7,0,27,26,24,1.4,63,11,14,12.5,45,42.5
Orchards,Ut3,Mittel toniger Schluff,low_medium_carbonate,6.4,6.8,0,57,44,51,1.53,26,139,24,14.4,75.3,10.3
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.5,5.5,15,57,25,16,0.56,59,16,23,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.5,6.6,0,25,17,32,0.58,62,13,12,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.5,5.7,5,31,17,19,0.45,75,11,9,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,5.2,6.8,0,45,21,34,0.92,20,11,14,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3,6.7,0,28,19,23,0.48,16,51,23,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1,7,0,17,20,20,0.64,15,9,7,4,32.5,63.5
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,7.6,7.1,0,23,35,27,1.47,15,16,12,14.4,75.3,10.3
Orchards,Sl2,Schwach lehmiger Sand,no_free_carbonate,2.9,5.1,13,16,9,12,0.15,54,51,9,6.5,17.5,76
Orchards,Slu,Schluffig-lehmiger Sand,high_carbonate,4,6.9,0,63,34,22,0.95,21,13,15,12.5,45,42.5
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,5.6,5.9,0,29,27,21,1.01,113,20,25,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,9.3,6.7,0,37,28,27,2.26,111,15,87,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,7.3,5.7,5,4,9,27,0.62,107,11,12,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5.4,6.2,0,14,20,22,1.14,88,12,17,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.7,5.9,0,21,21,22,1.1,109,22,39,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,2.4,6.7,0,40,16,15,0.67,15,15,14,4,32.5,63.5
Orchards,Us,Sandiger Schluff,low_medium_carbonate,1.9,6.4,0,10,3,17,0.76,79,17,5,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,8.6,6.2,0,61,36,26,1.09,63,24,29,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,5,6.1,0,12,22,18,0.9,63,9,7,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,4.7,5.6,10,13,13,15,0.59,76,9,8,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5.2,6.7,0,35,44,23,1.61,50,12,13,10,25,65
Orchards,Us,Sandiger Schluff,no_free_carbonate,2.2,5.4,26,11,13,13,0.32,63,9,5,4,65,31
Orchards,Us,Sandiger Schluff,high_carbonate,7.1,7,0,24,18,38,0.99,21,20,23,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,7.9,6.3,0,26,22,21,0.61,44,6,13,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3.4,7,0,43,17,23,1.14,26,16,13,4,32.5,63.5
Orchards,Us,Sandiger Schluff,low_medium_carbonate,5.3,6.8,0,19,17,40,1.58,95,14,18,4,65,31
Orchards,Us,Sandiger Schluff,low_medium_carbonate,3.6,6.8,0,25,35,21,1.99,106,15,13,4,65,31
Orchards,Us,Sandiger Schluff,low_medium_carbonate,3.7,6.3,0,23,19,17,0.77,73,11,9,4,65,31
Orchards,Us,Sandiger Schluff,low_medium_carbonate,4.4,6.3,0,21,20,16,1.25,82,12,17,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5,6.9,0,39,30,27,2.06,64,14,16,10,25,65
Orchards,Us,Sandiger Schluff,no_free_carbonate,2.6,6.2,0,6,7,15,0.48,58,10,3,4,65,31
Orchards,Ut3,Mittel toniger Schluff,low_medium_carbonate,3.6,7.1,0,24,8,15,0.9,70,17,9,14.4,75.3,10.3
Orchards,Us,Sandiger Schluff,no_free_carbonate,3.2,6.1,0,9,12,15,0.7,78,15,5,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,7.9,6.4,0,26,28,24,1.62,67,17,33,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,7.1,5.7,5,28,26,14,0.9,56,8,15,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,3.2,7.3,0,15,9,23,0.7,26,56,11,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,4.3,5.8,0,15,10,16,0.51,78,6,8,10,25,65
Orchards,Us,Sandiger Schluff,low_medium_carbonate,2.9,7.1,0,40,17,18,0.57,29,68,20,4,65,31
Orchards,Us,Sandiger Schluff,no_free_carbonate,3,5.5,22,30,22,16,0.51,74,237,18,4,65,31
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,5.2,6.9,0,42,29,32,1.27,18,77,27,14.4,75.3,10.3
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,3.9,7.3,0,41,11,24,0.92,10,98,23,14.4,75.3,10.3
Orchards,Lu,Schluffiger Lehm,high_carbonate,3,7.4,0,17,14,30,0.72,14,20,9,23.5,57.5,19
Orchards,Us,Sandiger Schluff,high_carbonate,2.7,7.5,0,22,18,21,0.47,16,43,12,4,65,31
Vineyards,Ls3,Mittel sandiger Lehm,high_carbonate,6.7,7.2,0,37,33,27,0.81,12,295,35,21,35,44
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,9,7.2,0,27,33,38,1.71,12,15,24,14.4,75.3,10.3
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3.4,7.4,0,16,7,20,0.61,20,26,11,4,32.5,63.5
Orchards,Slu,Schluffig-lehmiger Sand,high_carbonate,1.5,7.2,0,27,18,18,0.6,14,12,11,12.5,45,42.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1.1,7.1,0,24,14,18,0.75,10,7,9,4,32.5,63.5
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,3.9,7,0,43,22,26,1.21,19,49,17,14.4,75.3,10.3
Orchards,Lu,Schluffiger Lehm,high_carbonate,2.1,7.1,0,27,25,21,0.72,11,55,17,23.5,57.5,19
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,3.7,7.2,0,23,28,25,1,18,36,15,14.4,75.3,10.3
Orchards,Us,Sandiger Schluff,high_carbonate,3.3,7.3,0,14,12,36,0.32,24,12,4,4,65,31
Orchards,Us,Sandiger Schluff,high_carbonate,2.2,7.5,0,9,11,25,0.92,18,53,6,4,65,31
Vineyards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,7,6.6,0,15,23,45,1.48,211,408,34,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,3.4,7.1,0,39,15,19,0.79,27,40,27,10,25,65
Vineyards,Sl3,Mittel lehmiger Sand,high_carbonate,2.8,6.9,0,48,25,29,0.93,23,68,15,10,25,65
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,2.8,7.3,0,12,10,30,0.46,9,43,12,14.4,75.3,10.3
Orchards,Us,Sandiger Schluff,high_carbonate,11,7.2,0,30,23,48,1.08,9,15,21,4,65,31
Orchards,Us,Sandiger Schluff,low_medium_carbonate,4,6.5,0,20,14,22,0.81,94,13,14,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5.7,6.3,0,26,13,21,0.81,106,32,32,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,3.7,6.6,0,54,19,22,0.52,14,92,33,4,65,31
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,6.5,7.1,0,42,13,37,1.16,16,14,11,14.4,75.3,10.3
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,4.6,5.8,0,19,8,19,0.35,71,11,8,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,2.7,6.9,0,25,15,22,0.51,20,27,30,4,32.5,63.5
Orchards,Us,Sandiger Schluff,high_carbonate,4.8,7.2,0,21,19,28,1.05,13,26,9,4,65,31
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3.1,7,0,57,16,24,1.27,27,26,34,4,32.5,63.5
Orchards,Us,Sandiger Schluff,high_carbonate,2.8,7.2,0,15,15,20,0.63,22,33,10,4,65,31
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3.5,6.8,0,47,26,20,0.93,30,12,14,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,9.6,7.1,0,22,26,36,1.38,12,35,19,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,2.2,7.3,0,19,24,22,0.65,19,20,14,4,65,31
Orchards,Slu,Schluffig-lehmiger Sand,high_carbonate,26.6,7.2,0,7,11,70,1.08,13,8,39,12.5,45,42.5
Orchards,Us,Sandiger Schluff,high_carbonate,3.3,7.3,0,42,15,15,0.75,19,11,9,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,4,5.9,5,4,9,15,0.81,74,15,11,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,7.3,5.4,20,21,20,16,0.76,73,9,11,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,2.5,7.1,0,18,14,21,0.4,19,78,26,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.6,6.8,0,34,23,33,1.11,82,116,31,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1.5,7.2,0,13,19,16,0.37,23,10,9,4,32.5,63.5
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,1.8,7.2,0,12,16,20,0.53,18,27,8,6.5,17.5,76
Orchards,Ut3,Mittel toniger Schluff,low_medium_carbonate,14.4,6.5,0,4,7,59,2.01,25,55,39,14.4,75.3,10.3
Orchards,Us,Sandiger Schluff,low_medium_carbonate,3.5,6.4,0,23,13,16,0.56,66,9,3,4,65,31
Vineyards,Su3,Mittel schluffiger Sand,low_medium_carbonate,2.2,6.7,0,12,22,30,0.47,93,167,11,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,7.5,6,0,47,41,17,1.15,96,15,26,10,25,65
Orchards,Us,Sandiger Schluff,low_medium_carbonate,5,7.1,0,32,17,63,1.09,51,15,13,4,65,31
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,3.1,7,0,25,14,26,0.59,16,11,14,6.5,17.5,76
Orchards,Sl2,Schwach lehmiger Sand,low_medium_carbonate,6,6.6,0,20,21,21,0.79,97,247,30,6.5,17.5,76
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,4.3,7.1,0,12,24,23,0.65,36,20,13,4,32.5,63.5
Orchards,Ls3,Mittel sandiger Lehm,high_carbonate,3.5,7.2,0,37,27,23,0.84,16,14,10,21,35,44
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,4.8,7.2,0,9,16,42,0.88,31,24,10,14.4,75.3,10.3
Orchards,Su3,Mittel schluffiger Sand,low_medium_carbonate,4.2,6.4,0,19,17,25,0.9,93,137,26,4,32.5,63.5
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,3.3,7.2,0,14,8,16,0.52,17,30,16,6.5,17.5,76
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.8,6.6,0,47,19,34,1.34,45,51,26,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1.9,7,0,28,22,21,0.89,28,43,16,4,32.5,63.5
Orchards,Sl2,Schwach lehmiger Sand,no_free_carbonate,5.8,6,0,26,46,15,0.92,72,24,38,6.5,17.5,76
Orchards,Sl2,Schwach lehmiger Sand,low_medium_carbonate,4.3,6.8,0,25,18,28,1.28,58,15,17,6.5,17.5,76
Orchards,Sl2,Schwach lehmiger Sand,very_high_carbonate,3.6,7.2,0,24,13,21,0.72,20,45,18,6.5,17.5,76
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,2.9,6.1,0,115,130,51,2.16,32,27,16,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,3.6,6.5,0,39,38,32,1.57,56,20,27,10,25,65
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,2.1,7.2,0,18,32,22,0.52,12,15,8,6.5,17.5,76
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3,6.9,0,39,21,15,0.73,31,8,9,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,low_medium_carbonate,7.2,6.2,0,34,47,20,0.96,65,10,19,4,32.5,63.5
Orchards,Ut3,Mittel toniger Schluff,low_medium_carbonate,10.9,6.8,0,27,25,51,1.58,27,154,36,14.4,75.3,10.3
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,2.2,7.3,0,32,16,25,0.64,18,16,13,4,32.5,63.5
Orchards,Sl2,Schwach lehmiger Sand,no_free_carbonate,2.8,6.3,0,17,24,19,0.58,116,176,19,6.5,17.5,76
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.7,6.2,0,20,8,23,0.56,56,9,14,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,5.8,4.8,50,26,15,20,0.6,67,8,8,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,5.3,5.5,15,12,10,20,0.47,83,9,4,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3.8,6.8,0,49,28,25,0.78,21,114,32,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3.9,7.1,0,23,15,23,0.41,20,14,10,4,32.5,63.5
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,11.1,7.2,0,39,34,49,1.29,17,15,20,6.5,17.5,76
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3.2,7.2,0,48,21,22,0.79,13,9,7,4,32.5,63.5
Orchards,Us,Sandiger Schluff,no_free_carbonate,3.6,5.9,5,19,11,21,0.49,75,16,15,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,7.4,6.7,0,60,25,38,1.29,32,18,30,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1,6.9,0,9,24,14,0.2,18,8,5,4,32.5,63.5
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,1.2,7.1,0,16,14,20,0.27,21,11,6,6.5,17.5,76
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,6.7,7.2,0,50,25,40,1.88,26,17,15,14.4,75.3,10.3
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,3.6,7.1,0,33,17,23,0.82,27,31,18,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,1.6,7.4,0,5,10,21,0.56,15,19,14,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,4.3,7.2,0,20,15,46,2.59,81,70,14,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,5.4,6.8,0,42,18,27,1.21,34,32,23,10,25,65
Orchards,Ls3,Mittel sandiger Lehm,high_carbonate,3.1,7.1,0,53,34,37,1.48,31,107,20,21,35,44
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,6.1,7.3,0,2,4,29,0.55,16,10,4,14.4,75.3,10.3
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,4.8,6.9,0,32,13,40,1.09,35,74,42,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.9,6.4,0,24,13,23,0.94,91,16,15,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,3.8,6.2,0,23,23,33,1.02,169,365,30,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,8.5,6.6,0,45,18,29,1,59,13,15,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,6,6.2,0,32,21,21,0.92,88,20,26,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.4,6.2,0,25,10,24,0.87,90,9,7,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,5.3,5.7,5,15,25,16,0.9,115,12,16,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,5.3,5.6,10,29,18,24,0.68,104,10,11,10,25,65
Orchards,Us,Sandiger Schluff,no_free_carbonate,3.7,5.7,13,20,11,14,0.47,81,15,20,4,65,31
