landuse,textabbr_fingprob,text_fingprob,calccarb_hcl,som_elmntprc,ph_cacl2,lime_requirement,p_calmg100g,k_calmg100g,mg_catmgkg,b_catmgkg,mn_catmgkg,cu_catmgkg,zn_catmgkg,clay,silt,sand
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,4.4,7.2,0,26,23,33,0.8,13,50,23,14.4,75.3,10.3
Vineyards,Ls3,Mittel sandiger Lehm,high_carbonate,5.8,7,0,17,16,45,0.54,62,294,16,21,35,44
Orchards,Us,Sandiger Schluff,low_medium_carbonate,5.6,6.4,0,16,22,16,0.54,70,8,5,4,65,31
Orchards,Us,Sandiger Schluff,high_carbonate,9.4,6.6,0,19,13,26,1.15,64,36,28,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5.2,6.3,0,27,21,21,0.79,80,29,16,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.8,6,0,5,7,31,0.73,44,10,6,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,2.7,7.3,0,18,18,27,0.74,22,23,12,4,65,31
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,2.2,7.4,0,7,17,19,0.41,17,22,7,6.5,17.5,76
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,2.8,7.3,0,9,17,19,0.46,24,10,6,6.5,17.5,76
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.1,6.4,0,16,17,17,0.7,91,16,10,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5.4,6.4,0,10,5,28,0.85,66,9,5,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,7.3,6.4,0,38,28,28,1.51,56,15,43,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,6.8,7,0,31,19,25,1.47,18,11,15,10,25,65
Orchards,Us,Sandiger Schluff,no_free_carbonate,5.5,5.9,0,11,8,19,1.16,59,30,9,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,7.1,6.4,0,25,32,25,1.34,99,79,39,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,7.4,4.6,60,53,25,13,0.4,16,12,5,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,7.3,4.5,65,50,23,12,0.45,23,8,6,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,8.4,6.2,0,29,14,22,0.95,69,19,19,10,25,65
Orchards,Sl2,Schwach lehmiger Sand,very_high_carbonate,3.4,7.1,0,47,21,17,0.61,9,48,17,6.5,17.5,76
Orchards,Sl2,Schwach lehmiger Sand,no_free_carbonate,5.1,5.9,0,28,22,16,0.81,59,20,25,6.5,17.5,76
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,5.3,6,0,35,25,17,1.06,64,27,29,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.7,6.7,0,40,25,27,1.5,31,15,15,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,3.8,7.2,0,25,20,18,0.49,15,34,14,4,65,31
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,4.4,7,0,32,22,21,0.67,21,124,37,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,7.1,6.2,0,44,28,26,0.68,61,24,15,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.9,6.2,0,45,39,25,0.95,90,27,19,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5.1,6.2,0,26,40,16,1.28,102,11,11,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.7,4.9,45,36,23,11,0.45,69,16,7,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,5,7.3,0,12,9,28,0.84,11,29,14,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,5.2,7.1,0,47,18,21,0.97,11,57,28,10,25,65
Orchards,Su3,Mittel schluffiger Sand,low_medium_carbonate,4.5,6.1,0,19,14,23,0.41,89,10,9,4,32.5,63.5
Orchards,Us,Sandiger Schluff,no_free_carbonate,3.9,5.8,9,23,24,23,0.68,71,23,12,4,65,31
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,5.4,6.9,0,52,20,39,2.61,22,13,24,6.5,17.5,76
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,4.9,6.9,0,43,24,24,1.39,9,9,13,6.5,17.5,76
Orchards,Sl2,Schwach lehmiger Sand,low_medium_carbonate,5.3,6.7,0,31,28,30,0.8,76,12,18,6.5,17.5,76
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,6.3,7,0,27,33,30,1.05,23,8,16,4,32.5,63.5
Orchards,Us,Sandiger Schluff,high_carbonate,5.6,6.8,0,34,19,25,1.62,66,16,19,4,65,31
Orchards,Us,Sandiger Schluff,high_carbonate,5.5,7,0,30,10,27,1.1,36,20,30,4,65,31
Orchards,Sl2,Schwach lehmiger Sand,low_medium_carbonate,3.6,6.3,0,19,6,20,0.82,60,22,19,6.5,17.5,76
Orchards,Us,Sandiger Schluff,high_carbonate,3.9,7,0,27,30,25,0.88,19,27,12,4,65,31
Orchards,Us,Sandiger Schluff,high_carbonate,2.2,7.1,0,26,25,18,0.67,20,56,12,4,65,31
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,3.7,7.3,0,19,23,29,0.78,14,12,6,14.4,75.3,10.3
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.2,5.8,0,24,27,24,0.94,93,19,30,10,25,65
Vineyards,Sl3,Mittel lehmiger Sand,high_carbonate,5.7,6.9,0,26,33,52,1.7,111,100,26,10,25,65
