landuse,texture,ph,som,cu,zn
Orchards,Sl3,6,5.4,13,13
Orchards,Sl3,6.9,5.8,31,20
Orchards,Sl3,6.1,6.9,15,27
Orchards,Sl3,6.2,6.1,16,26
Orchards,Sl2,6.6,5.6,22,30
Orchards,Sl2,6.9,6.5,14,17
Orchards,Sl2,6.8,4.5,12,13
Orchards,Sl2,7.1,4.3,11,14
Orchards,Sl2,5.3,6.5,23,44
Orchards,Us,6.2,4.4,18,10
Orchards,Sl3,6.4,6.6,13,25
Orchards,Su3,5.9,3.2,9,21
Orchards,Us,6.9,6.5,11,18
Orchards,Sl2,7,5.7,10,14
Orchards,Us,6.3,3.7,16,11
Orchards,Sl3,6.9,6,16,16
Orchards,Sl3,6.1,6.3,23,33
Orchards,Us,6.5,5.3,16,9
Orchards,Sl3,6.4,7.7,13,36
Orchards,Sl3,7.1,6.4,13,16
Orchards,Sl2,7,7.8,10,15
Orchards,Sl2,6.3,4,10,10
Orchards,Sl2,7,6.2,14,31
Orchards,Su3,6.1,3.9,9,9
Orchards,Su3,6.7,5.4,17,19
Orchards,Sl3,6.5,5.1,15,11
Orchards,Sl3,7.1,4.6,11,16
Orchards,Us,6.7,3.9,13,18
Orchards,Sl2,5,5.8,26,28
Orchards,Sl3,7.2,3.6,59,29
Vineyards,Sl3,7.1,1.9,133,13
Orchards,Ut3,7.2,2.5,26,9
Vineyards,Sl3,6.3,4.3,383,38
Orchards,Us,7.2,2.7,66,15
Orchards,Ut3,7,4.7,114,11
Orchards,Us,6.9,3.4,49,13
Orchards,Sl3,7.1,3.5,19,14
Orchards,Lu,7.3,4.4,68,11
Orchards,Us,7.3,2.7,35,8
Orchards,Sl3,6.9,4.7,20,20
Orchards,Slu,7,9.4,46,42
Orchards,Us,7,4.3,17,27
Orchards,Sl2,7.1,7.3,20,22
Orchards,Sl2,6.6,4.7,238,22
Orchards,Us,7.6,3.5,15,5
Orchards,Ut3,7.2,3.9,51,6
Orchards,Us,5.1,4.1,21,16
Orchards,Sl2,6,6.2,12,26
Orchards,Su3,7.3,4.2,112,20
Orchards,Sl2,7.5,2.4,60,19
Orchards,Su3,7.3,2.5,100,14
Orchards,Su3,7.5,2.2,30,6
Orchards,Sl2,5.5,5.1,11,17
Orchards,Su3,7.5,3.5,20,12
Orchards,Sl2,6.7,3.8,11,9
Orchards,Su3,7.2,1.5,31,9
Orchards,Ut3,7.3,3,83,23
Orchards,Ls3,7.1,3.6,50,25
Orchards,Sl3,7.2,3.9,11,7
Orchards,Us,7.5,3.6,49,12
Orchards,Sl2,7.4,5.7,25,7
Orchards,Slu,7.1,23.1,21,14
Orchards,Sl3,5.1,3.9,16,12
Orchards,Sl2,6.3,5.8,72,35
Orchards,Sl2,7.3,2.7,14,10
Orchards,Sl2,6.3,2.8,15,4
Orchards,Sl3,6.1,4.7,13,11
Orchards,Sl3,6.3,6,13,20
Orchards,Su3,5,2.5,12,13
Orchards,Su3,7.2,3.7,26,18
Orchards,Sl2,7.3,3.2,38,10
Orchards,Ut3,7.3,2.5,45,10
Orchards,Ut3,7.1,7.9,15,8
Orchards,Us,6.4,2.1,10,5
Orchards,Us,6.3,2.6,15,9
Orchards,Sl3,6.4,5.8,13,26
Orchards,Sl2,5.8,3.3,16,10
Orchards,Sl3,6.9,6.7,32,17
Orchards,Sl2,5.3,4.8,12,11
Orchards,Us,7.2,3,75,37
Orchards,Sl3,6.6,7.8,25,28
Orchards,Sl3,6.3,2.9,14,12
Orchards,Sl3,6.3,5.7,16,32
Orchards,Sl3,7.1,4.3,10,9
Orchards,Sl2,6.3,3.8,12,6
Orchards,Sl2,5.1,3.3,11,11
Orchards,Sl2,6.1,3,9,8
Orchards,Sl2,4.9,5.9,13,17
Orchards,Sl2,6.9,3.8,14,7
Orchards,Su3,7.1,4.3,14,14
Orchards,Sl3,7,4.3,14,16
Orchards,Sl3,6.7,4.8,16,14
Orchards,Sl3,6.4,5.1,8,14
Orchards,Su3,7.3,3.4,18,6
Orchards,Sl3,6.4,4.6,9,8
Orchards,Su3,6.6,2.9,17,16
Orchards,Su3,6.6,5.3,14,17
Orchards,Sl2,7.2,3.4,9,7
Orchards,Sl3,6.7,5.3,19,20
Orchards,Us,7.4,2.8,20,12
Orchards,Su3,7.6,2.4,42,13
Orchards,Sl3,7.1,8,14,6
Orchards,Ut3,7.1,3.7,69,14
Orchards,Ut3,7.3,3.4,62,11
Orchards,Su3,7.3,2,49,9
Orchards,Sl2,7.1,3,19,17
Orchards,Us,6.5,4,17,14
Orchards,Ut3,7.2,3.9,31,19
Orchards,Su3,7.2,2.8,33,20
Orchards,Sl3,6.6,5.4,18,13
Orchards,Sl2,5.8,4.6,11,7
Orchards,Sl2,6.1,5.5,14,11
Orchards,Us,7.3,3.4,32,21
Orchards,Su3,7.4,1.3,7,10
Orchards,Sl2,5.6,2.8,12,6
Orchards,Us,7.3,4.1,12,9
Orchards,Sl3,7.1,5.5,15,12
Orchards,Sl3,7.1,6.2,13,15
Orchards,Sl3,5.8,3.5,10,3
Orchards,Sl3,6.7,6,12,26
Orchards,Sl3,6.8,5.7,13,30
Orchards,Us,6.7,2.6,12,7
Orchards,Sl3,6.6,5,5,6
Orchards,Sl2,6.6,7.2,41,66
Orchards,Su3,7.4,1.3,11,6
Orchards,Us,7.2,3.8,22,20
Orchards,Ut3,7.5,3.5,35,9
Orchards,Sl3,7.1,5.2,18,19
Orchards,Sl2,6.6,6.1,12,7
Orchards,Sl2,7.1,3.4,74,35
Orchards,Sl3,7,5.6,12,32
Orchards,Su3,5.5,5.9,22,15
Orchards,Su3,6.4,5.1,12,6
Orchards,Sl2,6.2,4.8,13,8
Orchards,Sl3,6.1,7.5,12,26
Orchards,Sl3,6.3,6.5,9,22
Orchards,Sl3,6.2,3.3,9,3
Orchards,Sl3,6.3,9.2,9,18
Orchards,Sl2,6.5,7.9,24,23
Orchards,Us,6.6,3.2,15,7
Orchards,Sl3,6.5,6.4,9,8
Orchards,Us,7.1,3.8,56,12
Orchards,Sl3,6.4,5.7,25,34
Orchards,Sl2,7.5,2,25,6
Orchards,Us,6.4,3.9,11,5
Orchards,Sl3,6.6,4.8,29,38
Orchards,Sl3,6.6,5.8,13,15
Orchards,Su3,7.4,2.9,11,5
Orchards,Sl3,6.1,6,13,25
Orchards,Sl2,6.5,6.9,23,27
Orchards,Ut3,7.5,4.9,84,12
Orchards,Su3,7.2,2.7,57,28
Orchards,Sl3,6.4,9,11,42
Orchards,Su3,7.2,2.4,8,19
Orchards,Sl3,6.7,5.8,8,5
Orchards,Sl2,7.3,3.5,40,15
Orchards,Us,6.4,3,23,15
Orchards,Us,7.1,3.4,9,10
Orchards,Us,6.8,3.5,17,13
Orchards,Sl3,6.8,3.2,13,12
Orchards,Sl3,6.4,5.5,7,6
Orchards,Sl3,6.5,6,17,24
Orchards,Sl3,6.1,5.9,12,12
Orchards,Us,7.1,5.5,11,9
Orchards,Sl3,6.7,5.8,15,22
Orchards,Sl3,5.9,4.5,10,10
Orchards,Sl3,6.6,8,13,30
Orchards,Us,6.3,4.8,32,25
Orchards,Sl3,6.8,4.1,61,14
Orchards,Sl2,7.5,5.1,6,6
Orchards,Sl3,6.8,5.4,13,8
Orchards,Sl3,6.4,5.9,11,12
Orchards,Sl3,6.8,4.4,13,20
Orchards,Sl3,6.9,5.7,9,24
Orchards,Sl3,6.4,5.5,10,21
Orchards,Us,7.2,3.1,57,23
Orchards,Sl3,6.7,5.5,16,17
Orchards,Sl3,6.5,6.8,20,30
Orchards,Slu,6.3,2.7,7,5
Vineyards,Sl3,7.2,5.1,277,59
Orchards,Us,6.2,2.9,10,3
Orchards,Us,6.7,4.3,14,8
Orchards,Us,6.3,3.4,12,11
Orchards,Sl2,6.6,2.8,38,28
Orchards,Us,7.3,2.9,52,16
Orchards,Us,7,3.7,119,40
Orchards,Sl3,5.7,5,16,18
Orchards,Sl3,6.6,5.3,17,18
Orchards,Sl3,7,4.7,57,55
Orchards,Us,7.2,2.9,63,22
Orchards,Sl3,7.2,2.9,24,13
Orchards,Su3,6.9,3.2,189,36
Orchards,Us,7.4,3,23,13
Orchards,Sl3,7,3.4,43,51
Orchards,Sl2,7.3,2.4,70,21
Orchards,Sl3,6,6.9,11,11
Orchards,Sl2,6.8,7.8,20,39
Orchards,Ut3,7.3,4.3,25,17
Orchards,Ls3,7.4,12.4,11,16
Orchards,Sl3,7,5.7,17,18
Orchards,Us,6.3,4.5,20,8
Orchards,Sl3,5.9,4.2,16,18
Vineyards,Sl3,7.3,3.6,355,31
Vineyards,Sl3,7.1,2.7,194,16
Vineyards,Sl3,6.7,3.6,406,36
Orchards,Sl3,7.3,5.1,60,26
Orchards,Su3,7.3,2.4,15,11
Orchards,Sl3,5.7,5.1,10,8
Orchards,Sl2,6.4,6.7,163,21
Orchards,Sl3,6.5,5.2,25,15
Orchards,Sl3,7,5,10,24
Orchards,Sl3,7,5,19,24
Orchards,Sl3,7.1,4.7,15,11
Orchards,Sl2,6.2,2.8,8,14
Orchards,Sl3,5.6,4.6,22,22
Orchards,Sl3,5.6,4.6,19,14
Orchards,Us,7.4,3.6,30,8
Orchards,Sl2,6.6,4.5,26,23
Orchards,Sl3,6.5,3.7,12,31
Orchards,Sl3,5.2,3.8,6,5
Orchards,Sl3,6.3,5.8,10,21
Orchards,Sl3,6.9,5.1,20,22
Orchards,Sl3,6.7,4.8,17,42
Orchards,Sl3,7,3.7,33,35
Orchards,Slu,6.6,4.3,14,18
Orchards,Sl2,7.2,3,8,6
Orchards,Sl3,6.5,5.6,10,8
Orchards,Sl3,5.6,5.4,24,27
Orchards,Sl2,7.4,3.4,52,12
Orchards,Us,6.3,3.3,14,13
Orchards,Sl3,5.7,5.1,17,32
Orchards,Sl3,6.6,3.5,15,27
Orchards,Sl2,6.4,6.5,98,28
Orchards,Sl3,5.5,4.4,12,13
Orchards,Sl3,6.9,4.8,12,16
Orchards,Sl3,6.2,9.7,231,63
Orchards,Sl3,5.8,4.1,12,10
Orchards,Us,6.4,3.9,17,11
Orchards,Us,6.5,3.6,12,6
Orchards,Sl3,6.7,3.9,19,10
Orchards,Sl3,7,12.5,17,23
Orchards,Sl3,7.4,5.6,27,13
Orchards,Sl2,7.3,2.4,14,10
Orchards,Ls3,7.2,7.1,41,20
Orchards,Sl3,7.2,2.4,28,22
Orchards,Sl2,7.2,4.1,76,43
Orchards,Ut3,7.3,5.3,25,33
Orchards,Us,7.4,4.5,12,3
Orchards,Us,6.7,3,17,10
Orchards,Sl3,6.7,5,18,16
Orchards,Sl2,7.2,4.8,14,21
Orchards,Sl2,6.3,4.1,16,18
Orchards,Us,5.8,3.4,14,14
Orchards,Us,7.3,4.2,12,12
Orchards,Sl2,6.6,3.7,28,27
Orchards,Sl3,6.7,5.3,14,28
Orchards,Us,7.2,4.2,53,18
Orchards,Sl3,5.4,6.7,16,22
Orchards,Us,6.5,3,13,8
Orchards,Sl3,6.6,3.2,16,7
Vineyards,Sl3,6.7,6.8,760,80
Orchards,Us,6.2,3.7,18,18
Orchards,Su3,6.6,5.3,19,17
Orchards,Sl3,6.5,6.6,24,37
Orchards,Sl3,7.1,4.6,13,12
Orchards,Sl3,6.9,4.8,13,17
Vineyards,Sl2,7.3,3.9,187,21
Orchards,Us,7.1,2.7,14,5
Orchards,Us,6.6,3.8,17,14
Orchards,Us,6.5,3.4,13,9
Orchards,Sl3,6.6,5.6,13,24
Orchards,Sl3,6,6.7,19,18
Orchards,Us,6.3,3,9,3
Orchards,Us,6,3.1,17,14
Orchards,Sl3,7,3.3,14,24
Orchards,Sl3,6.6,5.1,158,57
Orchards,Sl3,6.2,5.6,11,10
Orchards,Us,6.1,3.8,15,12
Orchards,Sl2,7,3.9,12,13
Orchards,Sl3,5.7,5.1,20,23
Orchards,Sl3,6.5,4.7,10,10
Orchards,Sl3,5.9,5.2,14,23
Orchards,Us,7.4,3.1,31,13
Vineyards,Sl3,7,3.6,347,43
Orchards,Sl2,6.6,5.1,16,20
Orchards,Us,7.6,2.3,15,8
Orchards,Sl4,7.1,3.5,107,27
Orchards,Su3,7.2,2.3,39,15
Orchards,Ut3,7.1,3.5,24,13
Orchards,Sl3,6.3,5.2,91,35
Orchards,Sl2,7.3,2.5,27,12
Orchards,Sl2,7.2,3.1,56,14
Orchards,Sl3,7.3,3.3,30,14
Orchards,Us,7.2,2.2,16,13
Orchards,Su3,7.2,4,12,20
Vineyards,Ls3,7.3,6,191,29
Orchards,Ut3,7,5,70,15
Orchards,Us,4.4,4.4,22,16
Orchards,Sl2,7.1,3,110,27
Orchards,Ut3,7.2,5.4,67,28
Orchards,Sl2,7,2.9,33,39
Orchards,Sl3,6.8,5.6,12,25
Orchards,Sl3,6.6,6.2,11,25
Orchards,Sl3,5.1,5.2,9,22
Orchards,Sl3,5.8,4.7,13,56
Orchards,Su3,7.3,1.4,20,7
Orchards,Slu,7.1,6.4,156,103
Orchards,Ut3,7.3,2.6,22,7
Orchards,Us,7.3,3.8,31,15
Vineyards,Sl3,7.1,3.9,346,32
Orchards,Us,7.3,2.5,44,16
Orchards,Us,7,5,22,22
Orchards,Su3,7.4,1.7,9,5
Orchards,Slu,6.9,14.2,12,15
Orchards,Us,7.4,3.7,34,9
Orchards,Us,7.3,2.9,19,20
Orchards,Sl2,7.3,2.3,84,19
Orchards,Us,6.1,4.8,17,23
Orchards,Sl3,5.7,3.3,8,12
Orchards,Sl3,6.2,5.7,12,9
Orchards,Sl2,5.9,6,11,9
Orchards,Sl3,7.2,3.7,176,23
Orchards,Sl2,7,5.4,26,26
Orchards,Slu,7.2,7.8,61,24
Orchards,Sl3,5.9,5.2,17,18
Orchards,Sl3,7,3.7,21,24
Orchards,Us,7.8,3.9,18,18
Orchards,Sl3,6.4,5.2,9,11
Orchards,Sl3,6.4,4.7,19,15
Orchards,Su3,7.1,1.9,11,8
Orchards,Sl3,5.4,5.2,18,5
Orchards,Sl3,6.6,8.4,11,27
Orchards,Sl3,6.5,6.4,14,19
Orchards,Su3,7,2.8,45,21
Orchards,Us,7.4,2.6,9,8
Orchards,Sl3,6.9,4.8,14,26
Orchards,Sl3,6.7,4.1,11,19
Orchards,Sl3,6.9,4.5,14,17
Orchards,Sl3,6.9,4.4,13,16
Orchards,Us,6.7,3.6,9,3
Orchards,Su3,7.2,2.1,10,14
Orchards,Sl3,6.5,6.7,9,10
Orchards,Sl3,6.3,6.7,7,9
Orchards,Sl2,7,5.7,9,15
Orchards,Sl3,6.2,6.8,17,11
Orchards,Sl3,7.4,3,21,9
Orchards,Sl3,6.8,6.5,16,29
Orchards,Sl3,6.4,4.8,9,16
Orchards,Sl2,6.9,3.6,188,40
Orchards,Us,7,4.8,20,18
Orchards,Slu,7.3,3.6,19,12
Orchards,Sl3,7.1,4.4,52,10
Orchards,Sl2,7.2,4.1,20,12
Orchards,Ut3,7.2,8.8,15,17
Orchards,Su3,7.4,1,17,5
Orchards,Lu,7.4,5.1,44,23
Orchards,Sl3,6,5.5,88,24
Orchards,Us,6.2,2.2,14,9
Orchards,Us,6.6,4.1,14,8
Orchards,Sl3,6.5,6.7,175,23
Orchards,Sl3,5.5,5.7,28,57
Orchards,Us,6.2,4.8,20,26
Orchards,Sl3,6.1,6.4,11,30
Orchards,Sl3,6.4,5.9,144,21
Orchards,Us,6.1,4.1,19,11
Orchards,Sl2,5.6,3.4,20,5
Orchards,Sl3,6.9,5.2,13,28
Orchards,Sl3,7.1,5.6,16,19
Orchards,Sl3,7.2,3.2,90,21
Orchards,Sl3,6.9,5,14,11
Orchards,Sl3,6.3,3.5,6,2
Orchards,Sl2,6.5,4.8,251,19
Orchards,Sl3,6.5,5.2,9,17
Orchards,Sl3,6.9,5.9,20,26
Orchards,Sl2,7.4,2.4,22,12
Orchards,Sl3,7.3,2.7,13,11
Orchards,Sl3,6.9,6.5,15,46
Orchards,Sl3,6.6,2.4,6,7
Orchards,Sl3,6.9,5.1,17,14
Orchards,Sl2,7.2,4,31,10
Orchards,Us,5.5,2.7,13,20
Orchards,Sl3,6,6.2,10,19
Orchards,Sl3,6.3,9.4,273,63
Orchards,Ut3,7.1,3.6,53,30
Orchards,Sl3,5.9,5,17,22
Orchards,Sl3,6.7,6.6,22,33
Orchards,Sl3,6.7,6.5,14,13
Orchards,Us,7.2,4.6,46,31
Orchards,Sl3,7.1,2.6,65,18
Orchards,Ls3,7.3,3.7,70,16
Orchards,Ut3,7.6,2.3,23,4
Orchards,Us,7.3,2.5,34,10
Orchards,Sl3,7.4,4.2,9,4
Orchards,Ls3,7.5,3.4,18,5
Orchards,Ut3,7.2,8.3,39,19
Orchards,Sl2,7.2,2.6,66,20
Orchards,Sl2,7.1,4,133,34
Orchards,Sl2,7.5,4.1,94,30
Orchards,Ut3,7.3,3.6,51,6
Orchards,Sl3,7.7,4.6,16,7
Orchards,Sl3,5.1,5.2,14,8
Orchards,Us,6.1,3.8,18,14
Orchards,Sl3,6.4,3,8,7
Orchards,Sl3,6.3,4.1,19,28
Orchards,Us,6.5,2.7,13,12
Orchards,Us,6.4,2.7,15,8
Orchards,Su3,6.3,2.2,14,10
Orchards,Sl3,6.7,5.5,160,36
Orchards,Sl3,7.1,5,13,12
Orchards,Sl3,6.7,5,14,27
Orchards,Sl3,7,4.5,15,30
Orchards,Sl3,6.3,3.6,8,6
Orchards,Us,7.4,5.1,43,4
Orchards,Ut3,6.9,4,21,6
Orchards,Ut3,7,5.1,17,6
Orchards,Sl3,7.3,4.5,248,34
Orchards,Us,7.5,3.8,36,10
Orchards,Sl3,5.9,5.1,17,23
Orchards,Sl3,5.6,6,8,7
Orchards,Sl2,6.9,4.5,7,24
Orchards,Ut3,7,4.2,265,34
Orchards,Sl3,7.2,2.1,30,7
Orchards,Sl3,7.4,3,52,13
Orchards,Sl3,7.3,2.4,41,11
Orchards,Sl3,7.2,4.3,250,18
Orchards,Sl2,5.8,6.1,22,34
Orchards,Sl2,6.6,5.8,34,36
Orchards,Us,7,4.5,13,14
Orchards,Sl2,7.2,3.5,27,16
Orchards,Sl2,7.2,2.8,18,11
Orchards,Sl3,7.5,2.7,19,6
Orchards,Us,7,2.9,97,27
Orchards,Sl3,7.4,2.9,11,7
Orchards,Us,7.5,1.4,7,0.5
Orchards,Sl3,7.1,3.1,97,24
Orchards,Sl3,7,6.2,76,29
Orchards,Sl3,7.3,4.2,16,13
Orchards,Sl2,7.1,5.1,75,33
Orchards,Sl3,6.1,2.9,22,15
Orchards,Sl3,7.3,4.4,55,7
Orchards,Ut3,7,3.8,87,27
Orchards,Us,7.4,2.6,48,8
Orchards,Sl3,6.3,5.6,14,19
Orchards,Sl3,6.3,6.8,21,21
Orchards,Sl3,6.7,4.9,9,7
Orchards,Sl3,6,5.9,8,7
Orchards,Us,7,4.3,12,9
Orchards,Sl3,6.5,5.1,43,24
Orchards,Sl3,6,4.9,8,5
Orchards,Us,5.8,2.8,11,9
Orchards,Sl3,5.8,6,28,47
Orchards,Sl3,5.8,3.3,16,14
Orchards,Sl3,5.6,6.4,7,5
Orchards,Us,7.1,4.5,10,17
Orchards,Us,6.7,5.6,17,13
Orchards,Us,6.3,4.2,19,10
Orchards,Us,6,5.2,24,16
Orchards,Us,6.4,3.6,17,7
Orchards,Sl3,6.6,4.5,204,42
Orchards,Sl3,6.2,5.2,15,20
Orchards,Sl3,7.1,6.5,14,31
Orchards,Sl3,7.1,3.7,11,18
Orchards,Sl3,7.3,4,9,10
Orchards,Sl3,6.2,2.4,8,3
Orchards,Us,6.4,3.1,18,10
Orchards,Sl3,5.9,4.3,14,19
Orchards,Sl3,5.9,3,10,5
Orchards,Sl3,6.2,4.4,26,37
Orchards,Sl3,6.3,5.1,47,19
Orchards,Sl3,6.3,5.3,18,20
Orchards,Sl3,6.6,4.4,15,13
Orchards,Sl3,6.2,4.9,12,16
Orchards,Sl3,6.3,4.4,11,11
Orchards,Sl3,7.1,3.8,15,12
Orchards,Su3,7.2,1.9,64,12
Orchards,Sl3,7.4,2.2,17,8
Orchards,Sl3,6.8,4.8,12,19
Orchards,Sl2,7.5,2.1,4,3
Orchards,Us,7.2,3,120,19
Orchards,Us,7.2,2.2,16,24
Orchards,Us,7.1,3.2,63,13
Orchards,Us,6.1,4.1,18,6
Orchards,Us,6.5,3.6,13,9
Orchards,Sl3,6.2,3.7,11,13
Orchards,Sl3,7.1,5.5,12,20
Orchards,Sl3,5.9,5.7,55,35
Orchards,Sl3,7.2,18.3,10,17
Orchards,Sl3,6.4,5.8,9,42
Orchards,Sl2,7.2,2.5,104,16
Orchards,Us,7.5,2.7,8,12
Orchards,Sl4,7,5.2,88,35
Orchards,Us,7.4,3,42,15
Orchards,Us,7.5,2.8,18,17
Orchards,Sl3,7.5,6.2,7,8
Orchards,Sl3,7.1,3.5,18,14
Orchards,Ut3,7.5,5.6,23,14
Orchards,Sl3,7.3,2.3,24,11
Orchards,Sl4,7.3,5.8,27,53
Orchards,Sl3,6.2,3.5,8,7
Orchards,Sl3,7.1,6.4,9,23
Orchards,Sl3,7.1,4.7,17,104
Orchards,Sl3,7.6,3.1,5,11
Orchards,Sl2,7.4,2.1,48,8
Orchards,Sl3,7.1,6.4,33,25
Orchards,Sl2,7.3,3.1,68,21
Orchards,Us,7.7,1.7,9,4
Orchards,Sl3,7.4,2.7,31,15
Orchards,Sl3,7.3,4.5,7,11
Orchards,Sl3,6.4,2.7,9,5
Orchards,Sl3,6.7,3.7,64,17
Orchards,Sl2,7.4,2.8,49,8
Orchards,Ut3,7.2,2.9,18,17
Orchards,Sl3,7.4,2.9,19,23
Orchards,Ls3,7.3,3,84,19
Orchards,Sl2,5.9,4.2,12,14
Orchards,Sl2,6.8,3.8,37,58
Orchards,Us,7.2,5.1,46,25
Orchards,Sl3,6.4,5.9,13,13
Orchards,Us,7.6,2.3,28,8
Orchards,Sl3,6.1,6,23,29
Orchards,Sl3,5.1,5.4,13,6
Orchards,Sl3,6,5.7,18,20
Orchards,Ut3,7.3,7.4,20,23
Orchards,Us,7.5,5,31,7
Orchards,Sl2,7.5,2.5,33,23
Orchards,Sl2,7.3,3.5,27,17
Orchards,Sl3,5.4,3,10,5
Orchards,Sl3,6.1,3.8,21,13
Orchards,Sl2,7.3,2.6,78,13
Orchards,Sl3,6.9,4.9,13,12
Orchards,Sl3,6.6,8,8,7
Orchards,Sl3,5.5,5.6,20,29
Orchards,Sl3,7.3,4.7,27,14
Orchards,Su3,7.5,1.8,43,10
Orchards,Sl3,7.3,2.7,30,21
Orchards,Sl3,7.4,3.4,34,16
Orchards,Sl3,7.5,3.4,57,14
Orchards,Sl3,7.1,5.1,10,18
Orchards,Sl3,6.2,4.6,10,7
Orchards,Sl2,7.3,2.7,45,28
Orchards,Sl2,7.5,1.6,8,4
Orchards,Sl3,7.4,2.8,41,20
Orchards,Sl2,6.3,3.6,8,2
Orchards,Us,5.7,2,15,7
Orchards,Sl3,7.2,3,79,15
Orchards,Slu,7.2,5.9,88,19
Orchards,Us,7.5,6.2,12,5
Orchards,Sl2,7.6,2.8,43,18
Orchards,Sl3,6.7,4,10,6
Orchards,Sl3,7.1,5,16,9
Orchards,Sl3,6.9,6.4,13,28
Orchards,Sl2,7.2,2.8,113,28
Orchards,Su3,7,2.5,68,29
Orchards,Sl3,7.3,19,11,20
Orchards,Su3,7.4,2,9,7
Orchards,Sl2,5.2,4.9,12,26
Orchards,Sl3,7.3,10,45,14
Orchards,Ut3,7.4,3.9,27,9
Orchards,Us,7.2,4.3,18,12
Orchards,Sl3,7.2,2.4,20,29
Orchards,Sl3,7.3,7.6,10,11
Orchards,Sl3,7.6,3.1,13,3
Orchards,Sl3,7.1,3.9,63,17
Orchards,Su3,7.5,1.6,10,7
Orchards,Sl2,7.7,2.1,7,6
Orchards,Sl3,7.6,1.1,8,2
Orchards,Sl3,7.4,4.8,29,21
Orchards,Sl3,5,5.1,17,42
Orchards,Sl2,5.8,6.7,17,69
Orchards,Us,6.3,4.8,21,6
Orchards,Sl3,6.4,5.5,9,6
Orchards,Ut3,7.1,4.3,67,20
Orchards,Su3,7.3,2.4,59,13
Orchards,Sl2,5.7,6.6,23,68
Orchards,Us,6.6,5.6,25,7
Orchards,Sl3,6.9,6.4,12,32
Orchards,Sl3,6.3,6.8,20,46
Orchards,Ut3,7.3,6.1,61,12
Orchards,Sl3,5.6,2.6,7,5
Orchards,Us,7.3,2.6,39,12
Orchards,Sl2,7.4,2.9,26,16
Orchards,Sl3,7.2,3.5,30,20
Orchards,Ls3,7.3,5.1,61,26
Orchards,Sl2,6.4,4.1,12,10
Orchards,Sl3,7.2,2.5,32,26
Orchards,Sl3,6.3,4.9,29,12
Orchards,Sl3,6.7,4.7,20,15
Orchards,Sl3,6.1,4.6,13,17
Orchards,Sl3,6.3,3.8,8,8
Orchards,Us,6.5,4.7,19,11
Orchards,Us,7.2,4.4,20,18
Orchards,Sl3,6.1,7.1,18,29
Orchards,Us,6.5,4.4,23,12
Orchards,Sl3,6.6,6.5,11,20
Orchards,Sl3,6.4,5.8,12,8
Orchards,Sl3,6.4,3.5,9,5
Orchards,Sl2,6.5,5.7,459,28
Orchards,Sl3,6,5.8,18,20
Orchards,Us,6.7,4.6,24,23
Orchards,Us,6.2,2.7,22,15
Orchards,Sl3,6.3,4,8,8
Orchards,Sl2,6.1,3.7,7,4
Orchards,Sl3,6.4,5.7,29,68
Orchards,Su3,7,2.3,7,7
Orchards,Sl2,6.7,2.9,15,12
Orchards,Sl3,6.4,5,14,11
Orchards,Us,6.6,5.3,16,9
Orchards,Us,6.9,4.1,13,16
Orchards,Sl3,6.1,5.7,8,10
Orchards,Us,7.1,3.6,17,19
Orchards,Sl3,6.7,4.1,17,18
Orchards,Sl3,5.7,5.2,135,50
Orchards,Us,6.5,4.7,12,9
Orchards,Sl3,6.1,4.7,7,5
Orchards,Sl3,5.7,3.5,15,7
Orchards,Sl3,7.2,3.6,35,20
Orchards,Us,6.9,11.7,11,15
Vineyards,Sl3,6.6,4.9,528,40
Orchards,Us,7.3,3.2,25,12
Orchards,Sl3,7.4,2.9,21,9
Orchards,Su3,7.2,2.6,45,15
Orchards,Sl3,7.1,5.3,143,28
Orchards,Sl3,7.2,4.5,27,10
Orchards,Sl3,7.2,2.6,20,9
Orchards,Su3,7,2.7,6,8
Orchards,Sl3,6.6,9.6,127,114
Orchards,Sl3,7.2,3.7,70,20
Orchards,Lu,7.3,10.1,15,14
Orchards,Sl3,7.3,6.6,49,13
Orchards,Lu,7.2,4.7,30,13
Orchards,Su3,7.4,5.1,27,11
Orchards,Sl3,7.1,10.1,58,18
Orchards,Us,7.3,3.1,60,10
Orchards,Us,7.4,3.2,88,9
Orchards,Sl3,7,15.2,12,27
Orchards,Sl3,7.2,4.2,43,26
Orchards,Us,7.3,2.8,57,17
Orchards,Us,7,4.6,46,24
Orchards,Sl3,7,11.9,9,17
Orchards,Ls3,7.1,16.4,13,15
Orchards,Us,6.5,4.7,16,10
Orchards,Ut3,7.4,4.8,36,20
Orchards,Lu,7.1,3.8,93,16
Orchards,Su3,7.2,2.6,18,6
Orchards,Us,7.4,2.2,16,9
Orchards,Sl3,7.2,2.4,55,16
Orchards,Sl3,7.5,1.8,33,8
Orchards,Su3,7.4,1.7,22,7
Orchards,Su3,6.9,3.2,55,32
Orchards,Us,5.5,2.8,7,5
Orchards,Sl2,7.2,4.9,17,9
Orchards,Sl3,6.1,6.4,18,23
Orchards,Us,6.1,4.4,10,18
Orchards,Sl3,6.8,6.8,17,25
Orchards,Sl3,6.4,6.1,14,24
Orchards,Sl3,5.1,7.5,9,12
Orchards,Sl3,5.9,6.7,14,21
Orchards,Sl3,5.7,5.9,9,16
Orchards,Sl3,6,3.9,8,8
Orchards,Su3,6.4,4.7,12,20
