landuse,texture,ph,som,cu,zn
Orchards,Us,6.9,4.4,12,18
Orchards,Us,7,4.4,14,21
Vineyards,Sl3,6.9,4.9,323,43
Orchards,Sl3,6.4,3.4,12,13
Orchards,Sl3,6.3,6.5,22,19
Orchards,Us,6.9,5.2,14,14
Orchards,Sl3,6.3,4.9,7,8
Orchards,Sl3,6.7,5,17,14
Orchards,Sl3,7,4.8,21,22
Orchards,Sl3,5.6,7.6,17,30
Orchards,Sl3,5.9,4.3,7,6
Orchards,Sl3,6.6,6,12,22
Orchards,Sl3,6.7,5.1,10,17
Orchards,Sl3,6.8,5.5,17,33
Orchards,Sl3,7.3,2.6,24,11
Vineyards,Ls3,7.4,1.9,120,12
Orchards,Sl3,7,5.9,12,34
Orchards,Slu,6.9,4.5,12,16
Vineyards,Ls3,7.1,4.7,576,41
Vineyards,Ls3,6.3,3,259,20
Orchards,Sl4,6.7,3.4,36,19
Orchards,Sl3,5.8,4.5,14,20
Orchards,Sl3,5.6,7,12,15
Vineyards,Ls3,7.1,3.4,178,18
Vineyards,Ls3,7.1,7.6,162,20
Vineyards,Sl4,7.2,5.3,168,19
Orchards,Su3,6.1,2.8,12,10
Orchards,Sl3,7.1,3.7,73,27
Orchards,Sl4,7.2,5.6,24,17
Orchards,Sl3,6.3,3,8,7
Orchards,Sl3,5.6,5.3,18,30
Orchards,Sl3,7.3,6.1,16,11
Vineyards,Sl3,5.9,3.9,321,27
Orchards,Sl3,7.4,3.6,64,11
Orchards,Sl2,7,2.9,35,23
Orchards,Su3,7.3,3.4,49,19
Orchards,Sl3,6.2,4.3,15,13
Orchards,Sl3,6.1,7.3,33,21
Orchards,Sl3,6.2,7.3,6,19
Orchards,Sl3,5.9,6.9,24,36
Orchards,Ut3,7.3,2.7,43,10
Orchards,Sl2,6.8,5,17,23
Orchards,Su3,7,4.8,11,16
Orchards,Sl3,6.9,3.9,12,33
Orchards,Sl3,7.2,23.3,14,30
Orchards,Ls3,7.3,3.6,39,18
Orchards,Sl2,7.2,2.5,57,13
Orchards,Sl3,6,6,18,20
Orchards,Su3,7,2.2,22,9
Orchards,Sl2,6.8,6.2,69,55
Orchards,Su3,6.9,2.2,6,10
Orchards,Sl2,7.3,5.3,7,10
Orchards,Sl3,7.2,8.1,18,18
Orchards,Su3,6.9,3.2,73,17
Orchards,Us,6,3.6,18,11
Orchards,Us,7.1,3.4,129,19
Orchards,Sl2,7.1,2.5,181,17
Orchards,Sl3,7,3,48,21
Vineyards,Sl3,6.6,4,279,33
Orchards,Us,6.1,3.9,13,13
Orchards,Us,6.2,2.6,13,4
Orchards,Us,7.5,2.3,26,5
Orchards,Ut3,7.1,6.8,12,3
Orchards,Sl3,5.6,6.8,24,24
Orchards,Su3,7.3,2.3,36,8
Orchards,Lu,7.3,6.8,41,18
Orchards,Sl2,7.2,2.3,175,24
Orchards,Ut3,7,4.5,235,28
Orchards,Ls3,6.8,4.6,27,40
Orchards,Sl3,7.2,4.7,24,11
Orchards,Sl3,6.4,6.2,38,58
Orchards,Sl3,5.7,5,11,28
Orchards,Sl3,5.6,6.5,24,22
Orchards,Ut3,6.6,4.6,17,26
Orchards,Sl3,6.8,6,16,37
Orchards,Us,7,5.9,17,20
Orchards,Sl3,7.1,5.5,8,14
Orchards,Su3,6.9,3.1,88,29
Orchards,Us,7.3,2.8,45,19
Orchards,Sl3,5.9,4.3,11,12
Orchards,Su3,6.3,6.9,14,29
Orchards,Su3,6.2,8.4,13,31
Orchards,Su3,6.4,7.6,11,17
Orchards,Su3,6.2,5.7,11,34
Orchards,Sl2,6.9,7,12,29
Orchards,Sl2,6.5,4.3,17,22
Orchards,Su3,7.2,1.9,6,7
Orchards,Us,6.1,2.8,10,9
Orchards,Sl2,6.2,3.7,17,19
Orchards,Sl2,6.6,4.8,15,24
Orchards,Sl2,5.8,5.4,12,17
Orchards,Us,5.9,2.9,8,12
Orchards,Ut3,7,4.8,23,16
Orchards,Sl3,7,7.1,12,19
Orchards,Sl3,7.4,2.4,23,12
Orchards,Ut3,7.2,4.8,27,14
Vineyards,Ut3,7.6,4.2,183,13
Vineyards,Ls3,7.4,2.6,143,15
Orchards,Us,7.2,3,22,16
Orchards,Us,7.1,3.1,25,23
Orchards,Us,7.2,2.2,29,15
Orchards,Us,7.2,2.4,31,25
Orchards,Ut3,7.2,4.4,53,18
Orchards,Ut3,7,2.6,36,59
Vineyards,Lu,7.4,4.3,155,42
Vineyards,Lu,7.3,2.9,89,15
Orchards,Sl3,7,4.3,138,23
Orchards,Us,5.9,2.9,15,7
Orchards,Su3,7,3.7,13,14
Orchards,Us,6.1,6,7,11
Orchards,Us,6.1,7.6,19,26
Orchards,Us,6,6.6,17,29
Orchards,Us,5.4,4.5,24,23
Orchards,Us,5.6,6.2,12,20
Orchards,Sl2,5.2,5.4,18,28
Orchards,Us,6.3,3.5,13,13
Orchards,Us,6.4,4.9,18,21
Orchards,Us,6.4,4.2,13,17
Orchards,Us,7.1,4.9,15,33
Orchards,Sl2,6.5,7.7,10,43
Orchards,Sl2,6.1,6.9,22,36
Orchards,Su3,7,2.8,30,22
Vineyards,Ls3,6.2,4.3,360,53
Orchards,Sl3,6.1,7.6,9,10
Orchards,Sl2,6,5.5,11,19
Orchards,Sl3,6.1,5,16,18
Orchards,Us,7.1,3.8,10,18
Orchards,Us,6.9,4.7,12,32
Orchards,Us,7.3,2.7,52,15
Orchards,Sl3,7.2,6.8,32,16
Orchards,Sl3,5.8,2.9,11,11
Orchards,Sl3,6.5,11.9,501,40
Orchards,Su3,6.9,3.6,52,20
Orchards,Su3,7.3,1.5,38,10
Orchards,Us,6.2,3.4,13,16
